image,run,status,tag_id,conf,x_m,y_m,z_m,roll_deg,pitch_deg,yaw_deg,qw,qx,qy,qz,eu_px,ev_px
frame_000134.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000134.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000134.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000136.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000136.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000136.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000136.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000136.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000138.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000138.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000138.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000138.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000138.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000140.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000140.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000140.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000140.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000140.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000142.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000142.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000142.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000142.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000142.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000144.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000144.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000144.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000144.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000144.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000146.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000146.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000146.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000146.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000146.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000148.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000148.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000148.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
